New mode =, SurroundingModel , dataset_limit=,1500,estimation_limit=,300,estimation_dist=,0.9,estimation_min_group_size=,15,threshold_hit=,0,threshold_distance=,0.5,hit_score=,1,miss_score=,-4,hit_position=,0.5,miss_position=,0.9,nearest_sum_n=,2,queue_sum_n=,1,input_coef_avg_best=,0.1,output_size_avg_best=,0,random_sample_coef=,0.4,input_size_avg_worst=,1500,output_coef_avg_worst=,0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-0.118405,-0.00235487,0.518651,0.362628,3.11881,0.446887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-0.0746355,-0.0127703,0.537425,0.652331,3.07568,0.438783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-0.147407,-0.0161525,0.500235,0.704902,2.91264,0.430556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.000114866,-0.171338,0.516355,7.64822,20.3642,0.466415,6.3239,16.0405,0.413669,-5.40643,-0.611727,0.506834,,,,,,,,,,,,,,,,,,,,,,,
13,0.0242222,-0.136535,0.524579,6.06928,16.101,0.418001,4.47036,11.2861,0.378418,7.48927,20.532,0.513857,3.18582,8.01725,0.318974,0.630825,2.0482,0.377149,-5.40643,-0.611727,0.506834,,,,,,,,,,,,,,
14,3.85022,10.2814,0.430983,-5.40643,-0.611727,0.506834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3.8458,10.271,0.450892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3.58614,9.91664,0.441681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3.57188,9.62559,0.453753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3.21507,9.35218,0.445716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2.52966,7.09272,0.447105,7.36377,20.2059,0.509744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2.58,7.23449,0.442592,7.20245,20.0954,0.501729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2.59055,7.19647,0.437887,7.12236,20.0864,0.483916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
